name,op_name,provider,node_index,dur,activation_size,output_size,input_type_shape,output_type_shape
bert/encoder/layer_9/intermediate/dense/Tanh_kernel_time,Tanh,CPUExecutionProvider,1017,317,3145728,3145728,"[{""float"": [256, 3072]}]","[{""float"": [256, 3072]}]"
bert/encoder/layer_9/intermediate/dense/Tanh_fence_after,Tanh,,,0,,,"""""",""""""
bert/encoder/layer_9/intermediate/dense/add_1_fence_before,Add,,,0,,,"""""",""""""
bert/encoder/layer_9/intermediate/dense/add_1_kernel_time,Add,CPUExecutionProvider,1018,50,3145728,3145728,"[{""float"": []}, {""float"": [256, 3072]}]","[{""float"": [256, 3072]}]"
bert/encoder/layer_9/intermediate/dense/add_1_fence_after,Add,,,0,,,"""""",""""""
bert/encoder/layer_9/intermediate/dense/mul_2_fence_before,Mul,,,0,,,"""""",""""""
bert/encoder/layer_9/intermediate/dense/mul_2_kernel_time,Mul,CPUExecutionProvider,1019,50,3145728,3145728,"[{""float"": []}, {""float"": [256, 3072]}]","[{""float"": [256, 3072]}]"
bert/encoder/layer_9/intermediate/dense/mul_2_fence_after,Mul,,,0,,,"""""",""""""
bert/encoder/layer_9/intermediate/dense/mul_3_fence_before,Mul,,,0,,,"""""",""""""
bert/encoder/layer_9/intermediate/dense/mul_3_kernel_time,Mul,CPUExecutionProvider,1020,92,6291456,3145728,"[{""float"": [256, 3072]}, {""float"": [256, 3072]}]","[{""float"": [256, 3072]}]"
bert/encoder/layer_9/intermediate/dense/mul_3_fence_after,Mul,,,0,,,"""""",""""""
bert/encoder/layer_9/output/dense/MatMul_quant_fence_before,DynamicQuantizeMatMul,,,0,,,"""""",""""""
bert/encoder/layer_9/output/dense/MatMul_quant_kernel_time,DynamicQuantizeMatMul,CPUExecutionProvider,1383,2057,3145728,786432,"[{""float"": [256, 3072]}, {""float"": [768]}, {""int8"": [768]}, {""float"": [768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_9/output/dense/MatMul_quant_fence_after,DynamicQuantizeMatMul,,,0,,,"""""",""""""
bert/encoder/layer_9/output/add_fence_before,Add,,,0,,,"""""",""""""
bert/encoder/layer_9/output/add_kernel_time,Add,CPUExecutionProvider,1027,42,1572864,786432,"[{""float"": [256, 768]}, {""float"": [256, 768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_9/output/add_fence_after,Add,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/moments/mean_fence_before,ReduceMean,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/moments/mean_kernel_time,ReduceMean,CPUExecutionProvider,1028,24,786432,1024,"[{""float"": [256, 768]}]","[{""float"": [256, 1]}]"
bert/encoder/layer_9/output/LayerNorm/moments/mean_fence_after,ReduceMean,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/moments/SquaredDifference_fence_before,Sub,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/moments/SquaredDifference_kernel_time,Sub,CPUExecutionProvider,1029,30,787456,786432,"[{""float"": [256, 768]}, {""float"": [256, 1]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_9/output/LayerNorm/moments/SquaredDifference_fence_after,Sub,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/moments/SquaredDifference__439_fence_before,Mul,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/moments/SquaredDifference__439_kernel_time,Mul,CPUExecutionProvider,1030,20,1572864,786432,"[{""float"": [256, 768]}, {""float"": [256, 768]}]","[{""float"": [256, 768]}]"
bert/encoder/layer_9/output/LayerNorm/moments/SquaredDifference__439_fence_after,Mul,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/moments/variance_fence_before,ReduceMean,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/moments/variance_kernel_time,ReduceMean,CPUExecutionProvider,1031,21,786432,1024,"[{""float"": [256, 768]}]","[{""float"": [256, 1]}]"
bert/encoder/layer_9/output/LayerNorm/moments/variance_fence_after,ReduceMean,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/batchnorm/add_fence_before,Add,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/batchnorm/add_kernel_time,Add,CPUExecutionProvider,1032,12,1024,1024,"[{""float"": [256, 1]}, {""float"": []}]","[{""float"": [256, 1]}]"
bert/encoder/layer_9/output/LayerNorm/batchnorm/add_fence_after,Add,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/batchnorm/Rsqrt_fence_before,Sqrt,,,0,,,"""""",""""""
bert/encoder/layer_9/output/LayerNorm/batchnorm/Rsqrt_kernel_time,Sqrt,CPUExecutionProvider,1033,7,1024,1024,"[{""float"": [256, 1]}]","[{""float"": [256, 1]}]"
bert/encoder/layer_9/output/LayerNorm/batchnorm/Rsqrt_fence_after,Sqrt,,,0,,,"""""",""""""
